env,room,query_id,model,log_stft_mse
acousticrooms_unseen,Apartments_idx_42,S3_R8,simplevit,1.77002
acousticrooms_unseen,Apartments_idx_42,S3_R9,simplevit,1.64263
acousticrooms_unseen,Apartments_idx_42,S3_R10,simplevit,1.75883
acousticrooms_unseen,Apartments_idx_42,S3_R11,simplevit,1.6468
acousticrooms_unseen,Apartments_idx_42,S3_R12,simplevit,1.56624
acousticrooms_unseen,Apartments_idx_42,S3_R13,simplevit,1.60194
acousticrooms_unseen,Apartments_idx_42,S3_R14,simplevit,1.59571
acousticrooms_unseen,Apartments_idx_42,S3_R15,simplevit,1.75361
acousticrooms_unseen,Apartments_idx_42,S3_R16,simplevit,1.64817
acousticrooms_unseen,Apartments_idx_42,S3_R17,simplevit,1.6329
acousticrooms_unseen,Apartments_idx_42,S3_R18,simplevit,1.82504
acousticrooms_unseen,Apartments_idx_42,S3_R19,simplevit,1.59997
acousticrooms_unseen,Apartments_idx_42,S3_R20,simplevit,1.79963
acousticrooms_unseen,Apartments_idx_42,S3_R21,simplevit,1.57136
acousticrooms_unseen,Apartments_idx_42,S3_R22,simplevit,1.72659
acousticrooms_unseen,Apartments_idx_42,S3_R23,simplevit,1.65538
acousticrooms_unseen,Apartments_idx_42,S3_R24,simplevit,2.05584
acousticrooms_unseen,Apartments_idx_42,S3_R25,simplevit,1.99607
acousticrooms_unseen,Apartments_idx_42,S4_R1,simplevit,1.61072
acousticrooms_unseen,Apartments_idx_42,S4_R2,simplevit,1.56377
acousticrooms_unseen,Apartments_idx_42,S4_R3,simplevit,1.50199
acousticrooms_unseen,Apartments_idx_42,S4_R4,simplevit,1.6374
acousticrooms_unseen,Apartments_idx_42,S4_R5,simplevit,1.71818
acousticrooms_unseen,Apartments_idx_42,S4_R6,simplevit,1.6327
acousticrooms_unseen,Apartments_idx_42,S4_R7,simplevit,1.68473
acousticrooms_unseen,Apartments_idx_42,S4_R8,simplevit,1.64932
acousticrooms_unseen,Apartments_idx_42,S4_R9,simplevit,1.61873
acousticrooms_unseen,Apartments_idx_42,S4_R10,simplevit,1.82973
acousticrooms_unseen,Apartments_idx_42,S4_R11,simplevit,1.69372
acousticrooms_unseen,Apartments_idx_42,S4_R12,simplevit,1.53629
acousticrooms_unseen,Apartments_idx_42,S4_R13,simplevit,1.49696
acousticrooms_unseen,Apartments_idx_42,S4_R14,simplevit,1.5593
acousticrooms_unseen,Apartments_idx_42,S4_R15,simplevit,1.88648
acousticrooms_unseen,Apartments_idx_42,S4_R16,simplevit,1.74596
acousticrooms_unseen,Apartments_idx_42,S4_R17,simplevit,1.73386
acousticrooms_unseen,Apartments_idx_42,S4_R18,simplevit,1.73009
acousticrooms_unseen,Apartments_idx_42,S4_R19,simplevit,1.80694
acousticrooms_unseen,Apartments_idx_42,S4_R20,simplevit,1.73467
acousticrooms_unseen,Apartments_idx_42,S4_R21,simplevit,1.83667
acousticrooms_unseen,Apartments_idx_42,S4_R22,simplevit,1.61119
acousticrooms_unseen,Apartments_idx_42,S4_R23,simplevit,1.88164
acousticrooms_unseen,Apartments_idx_42,S4_R24,simplevit,1.7734
acousticrooms_unseen,Apartments_idx_42,S4_R25,simplevit,1.84838
acousticrooms_unseen,Apartments_idx_42,S5_R1,simplevit,1.57726
acousticrooms_unseen,Apartments_idx_42,S5_R2,simplevit,1.66455
acousticrooms_unseen,Apartments_idx_42,S5_R3,simplevit,1.83245
acousticrooms_unseen,Apartments_idx_42,S5_R4,simplevit,1.84616
acousticrooms_unseen,Apartments_idx_42,S5_R5,simplevit,1.74774
acousticrooms_unseen,Apartments_idx_42,S5_R6,simplevit,1.81436
acousticrooms_unseen,Apartments_idx_42,S5_R7,simplevit,1.7875
acousticrooms_unseen,Apartments_idx_42,S5_R8,simplevit,1.74291
acousticrooms_unseen,Apartments_idx_42,S5_R9,simplevit,1.7139
acousticrooms_unseen,Apartments_idx_42,S5_R10,simplevit,1.89106
acousticrooms_unseen,Apartments_idx_42,S5_R11,simplevit,1.72409
acousticrooms_unseen,Apartments_idx_42,S5_R12,simplevit,1.52234
acousticrooms_unseen,Apartments_idx_42,S5_R13,simplevit,1.53968
acousticrooms_unseen,Apartments_idx_42,S5_R14,simplevit,1.68701
acousticrooms_unseen,Apartments_idx_42,S5_R15,simplevit,1.89805
acousticrooms_unseen,Apartments_idx_42,S5_R16,simplevit,1.76811
acousticrooms_unseen,Apartments_idx_42,S5_R17,simplevit,1.86001
acousticrooms_unseen,Apartments_idx_42,S5_R18,simplevit,1.95703
acousticrooms_unseen,Apartments_idx_42,S5_R19,simplevit,1.92216
acousticrooms_unseen,Apartments_idx_42,S5_R20,simplevit,1.70377
acousticrooms_unseen,Apartments_idx_42,S5_R21,simplevit,1.91496
acousticrooms_unseen,Apartments_idx_42,S5_R22,simplevit,1.59394
acousticrooms_unseen,Apartments_idx_42,S5_R23,simplevit,1.90212
acousticrooms_unseen,Apartments_idx_42,S5_R24,simplevit,1.70037
acousticrooms_unseen,Apartments_idx_42,S5_R25,simplevit,1.96844
acousticrooms_unseen,Apartments_idx_42,S6_R1,simplevit,1.84833
acousticrooms_unseen,Apartments_idx_42,S6_R2,simplevit,1.61678
acousticrooms_unseen,Apartments_idx_42,S6_R3,simplevit,1.82045
acousticrooms_unseen,Apartments_idx_42,S6_R4,simplevit,1.75031
acousticrooms_unseen,Apartments_idx_42,S6_R5,simplevit,1.57398
acousticrooms_unseen,Apartments_idx_42,S6_R6,simplevit,1.60034
acousticrooms_unseen,Apartments_idx_42,S6_R7,simplevit,1.70166
acousticrooms_unseen,Apartments_idx_42,S6_R8,simplevit,1.59343
acousticrooms_unseen,Apartments_idx_42,S6_R9,simplevit,1.76097
acousticrooms_unseen,Apartments_idx_42,S6_R10,simplevit,1.809
acousticrooms_unseen,Apartments_idx_42,S6_R11,simplevit,1.68102
acousticrooms_unseen,Apartments_idx_42,S6_R12,simplevit,1.61981
acousticrooms_unseen,Apartments_idx_42,S6_R13,simplevit,1.701
acousticrooms_unseen,Apartments_idx_42,S6_R14,simplevit,1.60059
acousticrooms_unseen,Apartments_idx_42,S6_R15,simplevit,1.77508
acousticrooms_unseen,Apartments_idx_42,S6_R16,simplevit,1.5505
acousticrooms_unseen,Apartments_idx_42,S6_R17,simplevit,1.66951
acousticrooms_unseen,Apartments_idx_42,S6_R18,simplevit,1.67258
acousticrooms_unseen,Apartments_idx_42,S6_R19,simplevit,1.52903
acousticrooms_unseen,Apartments_idx_42,S6_R20,simplevit,1.65908
acousticrooms_unseen,Apartments_idx_42,S6_R21,simplevit,1.73911
acousticrooms_unseen,Apartments_idx_42,S6_R22,simplevit,1.74483
acousticrooms_unseen,Apartments_idx_42,S6_R23,simplevit,1.84289
acousticrooms_unseen,Apartments_idx_42,S6_R24,simplevit,1.94565
acousticrooms_unseen,Apartments_idx_42,S6_R25,simplevit,1.98366
acousticrooms_unseen,Apartments_idx_42,S7_R1,simplevit,1.42316
acousticrooms_unseen,Apartments_idx_42,S7_R2,simplevit,1.4462
acousticrooms_unseen,Apartments_idx_42,S7_R3,simplevit,1.54345
acousticrooms_unseen,Apartments_idx_42,S7_R4,simplevit,1.46846
acousticrooms_unseen,Apartments_idx_42,S7_R5,simplevit,1.49794
acousticrooms_unseen,Apartments_idx_42,S7_R6,simplevit,1.4746
acousticrooms_unseen,Apartments_idx_42,S7_R7,simplevit,1.45417
acousticrooms_unseen,Apartments_idx_42,S7_R8,simplevit,1.44413
acousticrooms_unseen,Apartments_idx_42,S7_R9,simplevit,1.47413
acousticrooms_unseen,Apartments_idx_42,S7_R10,simplevit,1.54232
acousticrooms_unseen,Apartments_idx_42,S7_R11,simplevit,1.49027
acousticrooms_unseen,Apartments_idx_42,S7_R12,simplevit,1.45876
acousticrooms_unseen,Apartments_idx_42,S7_R13,simplevit,1.46493
acousticrooms_unseen,Apartments_idx_42,S7_R14,simplevit,1.45653
acousticrooms_unseen,Apartments_idx_42,S7_R15,simplevit,1.4813
acousticrooms_unseen,Apartments_idx_42,S7_R16,simplevit,1.46749
acousticrooms_unseen,Apartments_idx_42,S7_R17,simplevit,1.53489
acousticrooms_unseen,Apartments_idx_42,S7_R18,simplevit,1.58831
acousticrooms_unseen,Apartments_idx_42,S7_R19,simplevit,1.43325
acousticrooms_unseen,Apartments_idx_42,S7_R20,simplevit,1.50771
acousticrooms_unseen,Apartments_idx_42,S7_R21,simplevit,1.47684
acousticrooms_unseen,Apartments_idx_42,S7_R22,simplevit,1.4767
acousticrooms_unseen,Apartments_idx_42,S7_R23,simplevit,1.57939
acousticrooms_unseen,Apartments_idx_42,S7_R24,simplevit,1.71304
acousticrooms_unseen,Apartments_idx_42,S7_R25,simplevit,1.81144
acousticrooms_unseen,Apartments_idx_42,S8_R1,simplevit,1.7814
acousticrooms_unseen,Apartments_idx_42,S8_R2,simplevit,1.77872
acousticrooms_unseen,Apartments_idx_42,S8_R3,simplevit,1.65114
acousticrooms_unseen,Apartments_idx_42,S8_R4,simplevit,1.72156
acousticrooms_unseen,Apartments_idx_42,S8_R5,simplevit,1.73683
acousticrooms_unseen,Apartments_idx_42,S8_R6,simplevit,1.80218
acousticrooms_unseen,Apartments_idx_42,S8_R7,simplevit,1.72774
acousticrooms_unseen,Apartments_idx_42,S8_R8,simplevit,1.76048
acousticrooms_unseen,Apartments_idx_42,S8_R9,simplevit,1.67921
acousticrooms_unseen,Apartments_idx_42,S8_R10,simplevit,2.06733
acousticrooms_unseen,Apartments_idx_42,S8_R11,simplevit,2.00522
acousticrooms_unseen,Apartments_idx_42,S8_R12,simplevit,1.61724
acousticrooms_unseen,Apartments_idx_42,S8_R13,simplevit,1.60585
acousticrooms_unseen,Apartments_idx_42,S8_R14,simplevit,1.72044
acousticrooms_unseen,Apartments_idx_42,S8_R15,simplevit,1.73797
acousticrooms_unseen,Apartments_idx_42,S8_R16,simplevit,1.74784
acousticrooms_unseen,Apartments_idx_42,S8_R17,simplevit,1.74587
acousticrooms_unseen,Apartments_idx_42,S8_R18,simplevit,1.83934
acousticrooms_unseen,Apartments_idx_42,S8_R19,simplevit,1.79822
acousticrooms_unseen,Apartments_idx_42,S8_R20,simplevit,1.5795
acousticrooms_unseen,Apartments_idx_42,S8_R21,simplevit,1.82883
acousticrooms_unseen,Apartments_idx_42,S8_R22,simplevit,1.76004
acousticrooms_unseen,Apartments_idx_42,S8_R23,simplevit,1.94545
acousticrooms_unseen,Apartments_idx_42,S8_R24,simplevit,2.03394
acousticrooms_unseen,Apartments_idx_42,S8_R25,simplevit,1.64737
acousticrooms_unseen,Apartments_idx_42,S9_R1,simplevit,1.66804
acousticrooms_unseen,Apartments_idx_42,S9_R2,simplevit,1.35267
acousticrooms_unseen,Apartments_idx_42,S9_R3,simplevit,1.81604
acousticrooms_unseen,Apartments_idx_42,S9_R4,simplevit,1.57059
acousticrooms_unseen,Apartments_idx_42,S9_R5,simplevit,1.66379
acousticrooms_unseen,Apartments_idx_42,S9_R6,simplevit,1.71526
acousticrooms_unseen,Apartments_idx_42,S9_R7,simplevit,1.73968
acousticrooms_unseen,Apartments_idx_42,S9_R8,simplevit,1.94457
acousticrooms_unseen,Apartments_idx_42,S9_R9,simplevit,1.59574
acousticrooms_unseen,Apartments_idx_42,S9_R10,simplevit,1.54937
acousticrooms_unseen,Apartments_idx_42,S9_R11,simplevit,1.43101
acousticrooms_unseen,Apartments_idx_42,S9_R12,simplevit,1.31649
acousticrooms_unseen,Apartments_idx_42,S9_R13,simplevit,1.28574
acousticrooms_unseen,Apartments_idx_42,S9_R14,simplevit,1.29308
acousticrooms_unseen,Apartments_idx_42,S9_R15,simplevit,1.69865
acousticrooms_unseen,Apartments_idx_42,S9_R16,simplevit,1.82327
acousticrooms_unseen,Apartments_idx_42,S9_R17,simplevit,1.92268
acousticrooms_unseen,Apartments_idx_42,S9_R18,simplevit,2.08059
acousticrooms_unseen,Apartments_idx_42,S9_R19,simplevit,1.86077
acousticrooms_unseen,Apartments_idx_42,S9_R20,simplevit,1.38768
acousticrooms_unseen,Apartments_idx_42,S9_R21,simplevit,1.81438
acousticrooms_unseen,Apartments_idx_42,S9_R22,simplevit,1.74649
acousticrooms_unseen,Apartments_idx_42,S9_R23,simplevit,1.77636
acousticrooms_unseen,Apartments_idx_42,S9_R24,simplevit,1.70282
acousticrooms_unseen,Apartments_idx_42,S9_R25,simplevit,1.9452
acousticrooms_unseen,Apartments_idx_42,S10_R1,simplevit,1.31427
acousticrooms_unseen,Apartments_idx_42,S10_R2,simplevit,1.36872
acousticrooms_unseen,Apartments_idx_42,S10_R3,simplevit,1.36185
acousticrooms_unseen,Apartments_idx_42,S10_R4,simplevit,1.39553
acousticrooms_unseen,Apartments_idx_42,S10_R5,simplevit,1.40393
acousticrooms_unseen,Apartments_idx_42,S10_R6,simplevit,1.36763
acousticrooms_unseen,Apartments_idx_42,S10_R7,simplevit,1.45635
acousticrooms_unseen,Apartments_idx_42,S10_R8,simplevit,1.4017
acousticrooms_unseen,Apartments_idx_42,S10_R9,simplevit,1.31761
acousticrooms_unseen,Apartments_idx_42,S10_R10,simplevit,1.71206
acousticrooms_unseen,Apartments_idx_42,S10_R11,simplevit,1.60348
acousticrooms_unseen,Apartments_idx_42,S10_R12,simplevit,1.52091
acousticrooms_unseen,Apartments_idx_42,S10_R13,simplevit,1.41218
acousticrooms_unseen,Apartments_idx_42,S10_R14,simplevit,1.35168
acousticrooms_unseen,Apartments_idx_42,S10_R15,simplevit,1.2286
acousticrooms_unseen,Apartments_idx_42,S10_R16,simplevit,1.43507
acousticrooms_unseen,Apartments_idx_42,S10_R17,simplevit,1.39685
acousticrooms_unseen,Apartments_idx_42,S10_R18,simplevit,1.44418
acousticrooms_unseen,Apartments_idx_42,S10_R19,simplevit,1.33324
acousticrooms_unseen,Apartments_idx_42,S10_R20,simplevit,1.37972
acousticrooms_unseen,Apartments_idx_42,S10_R21,simplevit,1.2303
acousticrooms_unseen,Apartments_idx_42,S10_R22,simplevit,1.31459
acousticrooms_unseen,Apartments_idx_42,S10_R23,simplevit,1.28645
acousticrooms_unseen,Apartments_idx_42,S10_R24,simplevit,1.58926
acousticrooms_unseen,Apartments_idx_42,S10_R25,simplevit,1.77165
acousticrooms_unseen,Apartments_idx_50,S1_R1,simplevit,0.998683
acousticrooms_unseen,Apartments_idx_50,S1_R2,simplevit,1.10375
acousticrooms_unseen,Apartments_idx_50,S1_R3,simplevit,1.21677
acousticrooms_unseen,Apartments_idx_50,S1_R4,simplevit,1.12029
acousticrooms_unseen,Apartments_idx_50,S1_R5,simplevit,1.18751
acousticrooms_unseen,Apartments_idx_50,S1_R6,simplevit,1.12354
acousticrooms_unseen,Apartments_idx_50,S1_R7,simplevit,1.20755
acousticrooms_unseen,Apartments_idx_50,S1_R8,simplevit,1.1449
acousticrooms_unseen,Apartments_idx_50,S1_R9,simplevit,1.20191
acousticrooms_unseen,Apartments_idx_50,S1_R10,simplevit,1.29377
acousticrooms_unseen,Apartments_idx_50,S1_R11,simplevit,1.14047
acousticrooms_unseen,Apartments_idx_50,S1_R12,simplevit,1.05316
acousticrooms_unseen,Apartments_idx_50,S1_R13,simplevit,1.16381
acousticrooms_unseen,Apartments_idx_50,S1_R14,simplevit,1.06847
acousticrooms_unseen,Apartments_idx_50,S1_R15,simplevit,1.08307
acousticrooms_unseen,Apartments_idx_50,S1_R16,simplevit,1.12899
acousticrooms_unseen,Apartments_idx_50,S1_R17,simplevit,1.28831
acousticrooms_unseen,Apartments_idx_50,S1_R18,simplevit,1.20168
acousticrooms_unseen,Apartments_idx_50,S1_R19,simplevit,1.13363
acousticrooms_unseen,Apartments_idx_50,S1_R20,simplevit,1.26088
acousticrooms_unseen,Apartments_idx_50,S1_R21,simplevit,1.43509
acousticrooms_unseen,Apartments_idx_50,S1_R22,simplevit,1.33202
acousticrooms_unseen,Apartments_idx_50,S1_R23,simplevit,1.12434
acousticrooms_unseen,Apartments_idx_50,S1_R24,simplevit,1.09989
acousticrooms_unseen,Apartments_idx_50,S1_R25,simplevit,1.29915
acousticrooms_unseen,Apartments_idx_50,S2_R1,simplevit,1.05912
acousticrooms_unseen,Apartments_idx_50,S2_R2,simplevit,1.15271
acousticrooms_unseen,Apartments_idx_50,S2_R3,simplevit,1.18681
acousticrooms_unseen,Apartments_idx_50,S2_R4,simplevit,1.16361
acousticrooms_unseen,Apartments_idx_50,S2_R5,simplevit,1.1796
acousticrooms_unseen,Apartments_idx_50,S2_R6,simplevit,1.21549
acousticrooms_unseen,Apartments_idx_50,S2_R7,simplevit,1.19267
acousticrooms_unseen,Apartments_idx_50,S2_R8,simplevit,1.20117
acousticrooms_unseen,Apartments_idx_50,S2_R9,simplevit,1.39671
acousticrooms_unseen,Apartments_idx_50,S2_R10,simplevit,1.48398
acousticrooms_unseen,Apartments_idx_50,S2_R11,simplevit,1.0952
acousticrooms_unseen,Apartments_idx_50,S2_R12,simplevit,1.04991
acousticrooms_unseen,Apartments_idx_50,S2_R13,simplevit,1.08376
acousticrooms_unseen,Apartments_idx_50,S2_R14,simplevit,1.04631
acousticrooms_unseen,Apartments_idx_50,S2_R15,simplevit,1.09154
acousticrooms_unseen,Apartments_idx_50,S2_R16,simplevit,1.19968
acousticrooms_unseen,Apartments_idx_50,S2_R17,simplevit,1.25276
acousticrooms_unseen,Apartments_idx_50,S2_R18,simplevit,1.23422
acousticrooms_unseen,Apartments_idx_50,S2_R19,simplevit,1.08639
acousticrooms_unseen,Apartments_idx_50,S2_R20,simplevit,1.24045
acousticrooms_unseen,Apartments_idx_50,S2_R21,simplevit,1.09133
acousticrooms_unseen,Apartments_idx_50,S2_R22,simplevit,1.20669
acousticrooms_unseen,Apartments_idx_50,S2_R23,simplevit,1.11497
acousticrooms_unseen,Apartments_idx_50,S2_R24,simplevit,1.17647
acousticrooms_unseen,Apartments_idx_50,S2_R25,simplevit,1.26062
acousticrooms_unseen,Apartments_idx_50,S3_R1,simplevit,1.12399
acousticrooms_unseen,Apartments_idx_50,S3_R2,simplevit,1.02641
acousticrooms_unseen,Apartments_idx_50,S3_R3,simplevit,1.03531
acousticrooms_unseen,Apartments_idx_50,S3_R4,simplevit,1.1793
acousticrooms_unseen,Apartments_idx_50,S3_R5,simplevit,1.06826
acousticrooms_unseen,Apartments_idx_50,S3_R6,simplevit,1.08647
acousticrooms_unseen,Apartments_idx_50,S3_R7,simplevit,1.09694
acousticrooms_unseen,Apartments_idx_50,S3_R8,simplevit,1.09344
acousticrooms_unseen,Apartments_idx_50,S3_R9,simplevit,1.26894
acousticrooms_unseen,Apartments_idx_50,S3_R10,simplevit,1.3588
acousticrooms_unseen,Apartments_idx_50,S3_R11,simplevit,1.26928
acousticrooms_unseen,Apartments_idx_50,S3_R12,simplevit,1.16237
acousticrooms_unseen,Apartments_idx_50,S3_R13,simplevit,1.38383
acousticrooms_unseen,Apartments_idx_50,S3_R14,simplevit,1.19093
acousticrooms_unseen,Apartments_idx_50,S3_R15,simplevit,1.15529
acousticrooms_unseen,Apartments_idx_50,S3_R16,simplevit,1.11454
acousticrooms_unseen,Apartments_idx_50,S3_R17,simplevit,1.28509
acousticrooms_unseen,Apartments_idx_50,S3_R18,simplevit,1.27123
acousticrooms_unseen,Apartments_idx_50,S3_R19,simplevit,1.132
acousticrooms_unseen,Apartments_idx_50,S3_R20,simplevit,1.26006
acousticrooms_unseen,Apartments_idx_50,S3_R21,simplevit,1.12398
acousticrooms_unseen,Apartments_idx_50,S3_R22,simplevit,1.26887
acousticrooms_unseen,Apartments_idx_50,S3_R23,simplevit,1.20614
acousticrooms_unseen,Apartments_idx_50,S3_R24,simplevit,1.36846
acousticrooms_unseen,Apartments_idx_50,S3_R25,simplevit,1.37264
acousticrooms_unseen,Apartments_idx_50,S4_R1,simplevit,1.36495
acousticrooms_unseen,Apartments_idx_50,S4_R2,simplevit,1.21848
acousticrooms_unseen,Apartments_idx_50,S4_R3,simplevit,1.61719
acousticrooms_unseen,Apartments_idx_50,S4_R4,simplevit,1.40445
acousticrooms_unseen,Apartments_idx_50,S4_R5,simplevit,1.69391
acousticrooms_unseen,Apartments_idx_50,S4_R6,simplevit,1.4737
acousticrooms_unseen,Apartments_idx_50,S4_R7,simplevit,1.44201
acousticrooms_unseen,Apartments_idx_50,S4_R8,simplevit,1.33151
acousticrooms_unseen,Apartments_idx_50,S4_R9,simplevit,1.56142
acousticrooms_unseen,Apartments_idx_50,S4_R10,simplevit,1.58688
acousticrooms_unseen,Apartments_idx_50,S4_R11,simplevit,1.08563
acousticrooms_unseen,Apartments_idx_50,S4_R12,simplevit,1.06331
acousticrooms_unseen,Apartments_idx_50,S4_R13,simplevit,1.14563
acousticrooms_unseen,Apartments_idx_50,S4_R14,simplevit,1.21851
acousticrooms_unseen,Apartments_idx_50,S4_R15,simplevit,1.23338
acousticrooms_unseen,Apartments_idx_50,S4_R16,simplevit,1.34404
acousticrooms_unseen,Apartments_idx_50,S4_R17,simplevit,1.32488
acousticrooms_unseen,Apartments_idx_50,S4_R18,simplevit,1.61365
acousticrooms_unseen,Apartments_idx_50,S4_R19,simplevit,1.40204
acousticrooms_unseen,Apartments_idx_50,S4_R20,simplevit,2.02191
acousticrooms_unseen,Apartments_idx_50,S4_R21,simplevit,1.20051
acousticrooms_unseen,Apartments_idx_50,S4_R22,simplevit,1.26276
acousticrooms_unseen,Apartments_idx_50,S4_R23,simplevit,1.09188
acousticrooms_unseen,Apartments_idx_50,S4_R24,simplevit,1.14638
acousticrooms_unseen,Apartments_idx_50,S4_R25,simplevit,1.29863
acousticrooms_unseen,Apartments_idx_50,S5_R1,simplevit,1.12951
acousticrooms_unseen,Apartments_idx_50,S5_R2,simplevit,1.15737
acousticrooms_unseen,Apartments_idx_50,S5_R3,simplevit,1.13801
acousticrooms_unseen,Apartments_idx_50,S5_R4,simplevit,1.13927
acousticrooms_unseen,Apartments_idx_50,S5_R5,simplevit,1.08031
acousticrooms_unseen,Apartments_idx_50,S5_R6,simplevit,1.0159
acousticrooms_unseen,Apartments_idx_50,S5_R7,simplevit,1.10743
acousticrooms_unseen,Apartments_idx_50,S5_R8,simplevit,1.07652
acousticrooms_unseen,Apartments_idx_50,S5_R9,simplevit,1.36893
acousticrooms_unseen,Apartments_idx_50,S5_R10,simplevit,1.44182
acousticrooms_unseen,Apartments_idx_50,S5_R11,simplevit,1.17007
acousticrooms_unseen,Apartments_idx_50,S5_R12,simplevit,1.15967
acousticrooms_unseen,Apartments_idx_50,S5_R13,simplevit,1.19419
acousticrooms_unseen,Apartments_idx_50,S5_R14,simplevit,1.18238
acousticrooms_unseen,Apartments_idx_50,S5_R15,simplevit,1.16427
acousticrooms_unseen,Apartments_idx_50,S5_R16,simplevit,1.26345
acousticrooms_unseen,Apartments_idx_50,S5_R17,simplevit,1.30341
acousticrooms_unseen,Apartments_idx_50,S5_R18,simplevit,1.23212
acousticrooms_unseen,Apartments_idx_50,S5_R19,simplevit,1.20261
acousticrooms_unseen,Apartments_idx_50,S5_R20,simplevit,1.24482
acousticrooms_unseen,Apartments_idx_50,S5_R21,simplevit,1.20654
acousticrooms_unseen,Apartments_idx_50,S5_R22,simplevit,1.32865
acousticrooms_unseen,Apartments_idx_50,S5_R23,simplevit,1.18778
acousticrooms_unseen,Apartments_idx_50,S5_R24,simplevit,1.21107
acousticrooms_unseen,Apartments_idx_50,S5_R25,simplevit,1.33855
acousticrooms_unseen,Apartments_idx_50,S6_R1,simplevit,1.30595
acousticrooms_unseen,Apartments_idx_50,S6_R2,simplevit,1.29437
